            oob_score=False, random_state=3, verbose=0, warm_start=False))]"
"1874618","sklearn.pipeline.Pipeline(imputer=sklearn.preprocessing.imputation.Imputer,pca=sklearn.decomposition.pca.PCA,randomforestclassifier=sklearn.ensemble.forest.RandomForestClassifier)(1)","0.871","bootstrap:True,weight:None,criterion:gini,depth:None,features:auto,nodes:None,split:1e-05,leaf:1,split:2,leaf:0.0,estimators:500,jobs:-1,score:False,state:None,verbose:0,start:False,axis:0,copy:True,values:NaN,strategy:median,verbose:0,copy:True,power:auto,components:None,state:None,solver:auto,tol:0.0,whiten:False,sklearn.pipeline.Pipeline(imputer=sklearn.preprocessing.imputation.Imputer,pca=sklearn.decomposition.pca.PCA,randomforestclassif:0,
            n_estimators=500, n_jobs=-1, oob_score=False,
            random_state=None, verbose=0, warm_start=False))]"
"32051","weka.Bagging_J48(2)","0.8691","I:160,P:100,S:1,W:J48,num-slots:1,C:0.25,M:2"
"2995429","mlr.classif.ranger(13)","0.8691","num.trees:1262,mtry:11,sample.fraction:446484969789162,respect.unordered.factors:TRUE,num.threads:1,verbose:FALSE,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"2805272","mlr.classif.ranger(13)","0.8691","num.trees:1083,mtry:9,sample.fraction:665682517271489,num.threads:1,verbose:FALSE,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"2837131","mlr.classif.ranger(13)","0.8691","num.trees:890,mtry:9,sample.fraction:723071298981085,respect.unordered.factors:TRUE,num.threads:1,verbose:FALSE,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"2856697","mlr.classif.ranger(13)","0.8691","num.trees:1164,mtry:14,sample.fraction:678419594885781,respect.unordered.factors:TRUE,num.threads:1,verbose:FALSE,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"8180876","mlr.classif.ranger(9)","0.8691","num.trees:1916,mtry:10,min.node.size:2,replace:FALSE,sample.fraction:358220344898291,num.threads:1,verbose:FALSE,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"8496628","mlr.classif.ranger(9)","0.8691","num.trees:1728,mtry:14,min.node.size:2,sample.fraction:435786343575455,num.threads:1,verbose:FALSE,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"8180646","mlr.classif.ranger(9)","0.8691","num.trees:339,mtry:8,min.node.size:1,sample.fraction:486965859611519,num.threads:1,verbose:FALSE,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"8000760","mlr.classif.ranger(9)","0.8691","num.trees:1005,mtry:9,min.node.size:3,replace:FALSE,sample.fraction:447700957837515,num.threads:1,verbose:FALSE,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"8643247","mlr.classif.ranger(16)","0.8691","num.trees:454,mtry:10,min.node.size:4,replace:FALSE,sample.fraction:392350208433345,respect.unordered.factors:TRUE,num.threads:1,verbose:FALSE,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"8619428","mlr.classif.ranger(15)","0.8691","num.trees:1672,mtry:15,min.node.size:4,sample.fraction:417269509541802,num.threads:1,verbose:FALSE,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"8784879","mlr.classif.ranger(16)","0.8691","num.trees:1048,mtry:21,min.node.size:2,replace:FALSE,sample.fraction:416082988074049,num.threads:1,verbose:FALSE,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"1874619","sklearn.pipeline.Pipeline(imputer=sklearn.preprocessing.imputation.Imputer,pca=sklearn.decomposition.pca.PCA,randomforestclassifier=sklearn.ensemble.forest.RandomForestClassifier)(1)","0.8687","bootstrap:True,weight:None,criterion:gini,depth:None,features:auto,nodes:None,split:0.0001,leaf:1,split:2,leaf:0.0,estimators:500,jobs:-1,score:False,state:None,verbose:0,start:False,axis:0,copy:True,values:NaN,strategy:median,verbose:0,copy:True,power:auto,components:None,state:None,solver:auto,tol:0.0,whiten:False,sklearn.pipeline.Pipeline(imputer=sklearn.preprocessing.imputation.Imputer,pca=sklearn.decomposition.pca.PCA,randomforestclassif:0,
            n_estimators=500, n_jobs=-1, oob_score=False,
            random_state=None, verbose=0, warm_start=False))]"
"5346904","mlr.classif.ranger(13)","0.8687","num.trees:1680,mtry:19,sample.fraction:686196448490955,respect.unordered.factors:TRUE,num.threads:1,verbose:FALSE,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"2732056","mlr.classif.ranger(13)","0.8687","num.trees:902,mtry:18,sample.fraction:729950040881522,respect.unordered.factors:TRUE,num.threads:1,verbose:FALSE,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"5994049","sklearn.pipeline.Pipeline(imputation=openmlstudy14.preprocessing.ConditionalImputer,hotencoding=sklearn.preprocessing.data.OneHotEncoder,variencethreshold=sklearn.feature_selection.variance_threshold.VarianceThreshold,classifier=sklearn.ensemble.forest.RandomForestClassifier)(1)","0.8687","bootstrap:true,weight:null,criterion:""entropy"",depth:null,features:32242510282277237,nodes:null,split:1e-07,leaf:3,split:9,leaf:0.0,estimators:100,jobs:1,score:false,state:56155,verbose:0,start:false,axis:0,features:[],copy:true,empty:0,values:""NaN"",strategy:""mean"",nominal:""most_frequent"",verbose:0,features:[],dtype:float64""},unknown:""ignore"",values:""auto"",sparse:false,threshold:0.0"
"2750615","mlr.classif.ranger(13)","0.8687","num.trees:791,mtry:6,sample.fraction:694422988686711,respect.unordered.factors:TRUE,num.threads:1,verbose:FALSE,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"2834160","mlr.classif.ranger(13)","0.8687","num.trees:516,mtry:14,sample.fraction:732427016063593,respect.unordered.factors:TRUE,num.threads:1,verbose:FALSE,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"2825264","mlr.classif.ranger(13)","0.8687","num.trees:278,mtry:15,sample.fraction:706918324460275,respect.unordered.factors:TRUE,num.threads:1,verbose:FALSE,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"2853777","mlr.classif.ranger(13)","0.8687","num.trees:852,mtry:15,sample.fraction:729334346717224,respect.unordered.factors:TRUE,num.threads:1,verbose:FALSE,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
