"Run ID","Flow","predictive_accuracy","Hyperparameters"
"4234286","mlr.classif.xgboost(9)","0.8621","eta:10635145956689,depth:15,weight:60327398316517,subsample:756464469293132,bytree:83045409899205,bylevel:441857469966635,lambda:468435254559,alpha:127562866489977,nthread:1,nrounds:2363,verbose:0,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"5363013","mlr.classif.xgboost(9)","0.8582","eta:0799843655114171,depth:3,weight:99390263024787,subsample:748502200026996,bytree:523979570483789,bylevel:896558605367318,lambda:212034631434,alpha:07495230083064,nthread:1,nrounds:2828,verbose:0,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"2941395","mlr.classif.xgboost(9)","0.8582","eta:00960896184619731,depth:5,weight:52636037814818,subsample:525636178720743,bytree:937551744049415,bylevel:408751561772078,lambda:490842325369071,alpha:62554852129398,nthread:1,nrounds:4262,verbose:0,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"2930520","mlr.classif.xgboost(9)","0.8582","eta:00291395603186286,depth:8,weight:37565936188167,subsample:843561151414178,bytree:892622163984925,bylevel:302735792472959,lambda:173369867799283,alpha:0988581143499305,nthread:1,nrounds:2075,verbose:0,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"2916722","mlr.classif.xgboost(9)","0.8582","eta:0147199908713525,depth:7,weight:89064683434904,subsample:795623132330366,bytree:983457698719576,bylevel:101954020094126,lambda:7090934442794,alpha:00157807210984289,nthread:1,nrounds:3561,verbose:0,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"2917704","mlr.classif.xgboost(9)","0.8582","eta:0602549560547263,depth:4,weight:25696732763007,subsample:942637058859691,bytree:516639101319015,bylevel:911962780402973,lambda:739767088841,alpha:32177623408275,nthread:1,nrounds:4435,verbose:0,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"2920062","mlr.classif.xgboost(9)","0.8582","eta:349925060514239,depth:3,weight:76677768835895,subsample:541699438379146,bytree:267526305979118,bylevel:905115274712443,lambda:728959000485,alpha:00436751083482846,nthread:1,nrounds:272,verbose:0,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"2926508","mlr.classif.xgboost(9)","0.8582","eta:00129924304591846,depth:13,weight:81099519539472,subsample:999351878766902,bytree:690644840709865,bylevel:370726537425071,lambda:066433362994662,alpha:481960616735788,nthread:1,nrounds:3114,verbose:0,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"2905960","mlr.classif.xgboost(9)","0.8582","eta:0075896619942485,depth:1,weight:95840316908228,subsample:659145623119548,bytree:421548220096156,bylevel:819376738276333,lambda:00166104000278781,alpha:032337995736693,nthread:1,nrounds:2905,verbose:0,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"2911187","mlr.classif.xgboost(9)","0.8582","eta:0184357241667017,depth:5,weight:67128219086379,subsample:69381614162121,bytree:675262282369658,bylevel:479562838794664,lambda:9202673865662,alpha:0211255643422772,nthread:1,nrounds:914,verbose:0,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"2928459","mlr.classif.xgboost(9)","0.8582","eta:00187238753417567,depth:4,weight:7413854427001,subsample:857882173825055,bytree:254445135826245,bylevel:535544308368117,lambda:00107543068109925,alpha:601031454496642,nthread:1,nrounds:4875,verbose:0,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"3485087","mlr.classif.ranger(13)","0.8582","num.trees:992,mtry:3,sample.fraction:42165966858156,num.threads:1,verbose:FALSE,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"4988307","mlr.classif.xgboost(9)","0.8582","eta:00660113377806807,depth:15,weight:45678990097427,subsample:645097026182339,bytree:822237918386236,bylevel:18339681532234,lambda:26741353420645,alpha:00773006197040706,nthread:1,nrounds:1060,verbose:0,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"2166958","mlr.classif.xgboost(6)","0.8582","eta:00716187339576649,depth:5,weight:53040402276305,subsample:963901826296933,bytree:803312515607104,bylevel:841678087366745,lambda:0413796400721,alpha:0349367517586409,nrounds:2442,verbose:0,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"151760","weka.IterativeClassifierOptimizer_LogitBoost_DecisionStump(1)","0.8563","E:1,H:1.0,I:10,L:7976931348623157E308,O:1,P:100,S:1,W:DecisionStump,Z:3.0,L:50,P:1,E:1,I:1,F:10,R:1,W:LogitBoost,metric:RMSE,S:1"
"4229327","mlr.classif.xgboost(9)","0.8563","eta:08215243798686,depth:2,weight:96677711438965,subsample:660011692694388,bytree:712585051776841,bylevel:666178059997037,lambda:67528422169401,alpha:03979210510983,nthread:1,nrounds:606,verbose:0,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"4233944","mlr.classif.xgboost(9)","0.8563","eta:00158197229941996,depth:3,weight:54552135146322,subsample:804448793991469,bytree:458860661834478,bylevel:918415126623586,lambda:0243962327885605,alpha:25431633003781,nthread:1,nrounds:2272,verbose:0,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"1756948","weka.IterativeClassifierOptimizer_LogitBoost_DecisionStump(2)","0.8563","L:50,P:1,E:1,I:1,F:10,R:1,W:LogitBoost,metric:RMSE,S:1,P:100,L:7976931348623157E308,H:1.0,Z:3.0,O:1,E:1,S:1,I:10,W:DecisionStump"
"5359596","mlr.classif.xgboost(9)","0.8563","eta:00632713395785908,depth:11,weight:72119712396456,subsample:930569026852027,bytree:675254225498065,bylevel:827360656345263,lambda:0315950022000433,alpha:89473282912875,nthread:1,nrounds:1097,verbose:0,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"5361319","mlr.classif.xgboost(9)","0.8563","eta:0126881868773571,depth:14,weight:38750673156421,subsample:538843894330785,bytree:485300568165258,bylevel:564339581644163,lambda:8062152935289,alpha:0185329797184425,nthread:1,nrounds:4729,verbose:0,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"1903351","mlr.classif.xgboost(6)","0.8563","eta:113625208669202,depth:5,weight:68356177331254,subsample:941723982943222,bytree:412591391708702,bylevel:555864443769678,lambda:218567946815002,alpha:14422816067456,nrounds:3655,verbose:0,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"2938109","mlr.classif.xgboost(9)","0.8563","eta:00760592371469915,weight:21103010873304,subsample:650843797298148,bytree:44625790650025,bylevel:456685438053682,lambda:5350001528199,alpha:0840899969638943,nthread:1,nrounds:2429,verbose:0,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
