,Flow,Accuracy
0,weka.AdaBoostM1_DecisionStump(1),0.929825
1,weka.RandomTree(1),0.824561
2,weka.RandomTree(1),0.765854
3,weka.Bagging_REPTree(1),0.98441
4,weka.Bagging_REPTree(1),0.609756
5,weka.JRip(1),0.746341
6,weka.JRip(1),0.98441
7,weka.IBk(1),0.842105
8,weka.BayesNet_K2(1),0.658537
9,weka.SMO_PolyKernel(1),0.692683
10,weka.RandomForest(1),0.829268
11,weka.BayesNet_K2(1),0.961024
12,weka.LogitBoost_DecisionStump(1),0.804878
13,weka.RandomForest(1),0.991091
14,weka.Logistic(1),0.702439
15,weka.DecisionStump(1),0.842105
16,weka.Logistic(1),0.988864
17,weka.SMO_PolyKernel(1),0.973274
18,weka.IBk(1),0.736585
19,weka.AdaBoostM1_DecisionStump(1),0.836303
20,weka.JRip(1),0.877193
21,weka.NaiveBayes(1),0.865256
22,weka.ZeroR(1),0.761693
23,weka.J48(1),0.985523
24,weka.REPTree(1),0.982183
25,weka.LogitBoost_DecisionStump(1),0.98441
26,weka.NaiveBayes(1),0.865256
27,weka.NaiveBayes(1),0.865256
28,weka.NaiveBayesUpdateable(1),0.865256
29,weka.Logistic(1),0.987751
30,weka.MultilayerPerceptron(1),0.983296
31,weka.SimpleLogistic(1),0.992205
32,weka.SMO_PolyKernel(1),0.973274
33,weka.IBk(1),0.989978
34,weka.KStar(1),0.953229
35,weka.LWL_DecisionStump(1),0.955457
36,weka.AdaBoostM1_DecisionStump(1),0.836303
37,weka.AttributeSelectedClassifier_CfsSubsetEval_BestFirst_J48(1),0.966592
38,weka.Bagging_REPTree(1),0.98441
39,weka.ClassificationViaRegression_M5P(1),0.985523
40,weka.CVParameterSelection_ZeroR(1),0.761693
41,weka.FilteredClassifier_Discretize_J48(1),0.986637
42,weka.LogitBoost_DecisionStump(1),0.98441
43,weka.MultiClassClassifier_Logistic(1),0.992205
44,weka.MultiClassClassifierUpdateable_SGD(1),0.989978
45,weka.MultiScheme_ZeroR(1),0.761693
46,weka.RandomCommittee_RandomTree(1),0.992205
47,weka.RandomSubSpace_REPTree(1),0.989978
48,weka.Vote_ZeroR(1),0.761693
49,weka.DecisionTable_BestFirst(1),0.953229
50,weka.JRip(1),0.98441
51,weka.OneR(1),0.836303
52,weka.PART(1),0.982183
53,weka.ZeroR(1),0.761693
54,weka.DecisionStump(1),0.771715
55,weka.J48(1),0.985523
56,weka.LMT(1),0.993318
57,weka.RandomForest(1),0.991091
58,weka.RandomTree(1),0.982183
59,weka.REPTree(1),0.982183
60,weka.BayesNet_K2(1),0.894737
61,weka.CVParameterSelection_ZeroR(1),0.326829
62,weka.MultiScheme_ZeroR(1),0.649123
63,weka.LMT(1),0.741463
64,weka.NaiveBayesUpdateable(1),0.964912
65,weka.SMO_RBFKernel(1),0.649123
66,weka.SMO_RBFKernel(1),0.57561
67,weka.ZeroR(1),0.649123
68,weka.SMO_PolyKernel(1),0.649123
69,weka.MultiClassClassifier_Logistic(1),0.658537
70,weka.SMO_RBFKernel(1),0.673171
71,weka.J48(1),0.965479
72,weka.SMO_RBFKernel(1),0.991091
73,weka.IBk(1),0.629268
74,weka.SMO_RBFKernel(1),0.975501
75,weka.J48(1),0.565854
76,weka.J48(1),0.809756
77,weka.SMO_RBFKernel(1),0.570732
78,weka.AdaBoostM1_DecisionStump(1),0.912281
79,weka.SMO_RBFKernel(1),0.326829
80,weka.SMO_RBFKernel(1),0.761693
81,weka.ClassificationViaRegression_M5P(1),0.765854
82,weka.SMO_RBFKernel(1),0.649123
83,weka.CVParameterSelection_ZeroR(1),0.649123
84,weka.SMO_RBFKernel(1),0.649123
85,weka.J48(1),0.614634
86,weka.J48(1),0.965479
87,weka.SMO_PolyKernel(1),0.380488
88,weka.IBk(1),0.643902
89,weka.Bagging_REPTree(1),0.653659
90,weka.SMO_RBFKernel(1),0.521951
91,weka.SMO_RBFKernel(1),0.77193
92,weka.SMO_RBFKernel(1),0.923163
93,weka.J48(1),0.789474
94,weka.J48(1),0.790244
95,weka.LMT(1),0.741463
96,weka.SMO_RBFKernel(1),0.649123
97,weka.AdaBoostM1_DecisionStump(1),0.929825
98,weka.Bagging_REPTree(1),0.894737
99,weka.SMO_RBFKernel(1),0.719298
100,weka.SMO_RBFKernel(1),0.831849
101,weka.LWL_DecisionStump(1),0.497561
102,weka.RandomForest(1),0.629268
103,weka.KStar(1),0.721951
104,weka.J48(1),0.789474
105,weka.SMO_RBFKernel(1),0.673171
106,weka.J48(1),0.8
107,weka.SMO_RBFKernel(1),0.974388
108,weka.Bagging_REPTree(1),0.639024
109,weka.MultilayerPerceptron(1),0.929825
110,weka.SimpleLogistic(1),0.746341
111,weka.SMO_RBFKernel(1),0.741463
112,weka.J48(1),0.658537
113,weka.J48(1),0.789474
114,weka.J48(1),0.526829
115,weka.SMO_RBFKernel(1),0.719298
116,weka.Bagging_REPTree(1),0.986637
117,weka.SMO_RBFKernel(1),0.649123
118,weka.J48(1),0.789474
119,weka.OneR(1),0.64878
120,weka.Bagging_REPTree(1),0.877193
121,weka.Bagging_REPTree(1),0.988864
122,weka.OneR(1),0.824561
123,weka.J48(1),0.541463
