,Flow,Accuracy
0,weka.LogitBoost_DecisionStump(1),0.93836
1,weka.Bagging_REPTree(1),0.98441
2,weka.NaiveBayes(1),0.874218
3,weka.OneR(1),0.674593
4,weka.DecisionStump(1),0.660513
5,weka.REPTree(1),0.9903
6,weka.JRip(1),0.98441
7,weka.BayesNet_K2(1),0.874218
8,weka.Logistic(1),0.974343
9,weka.BayesNet_K2(1),0.961024
10,weka.RandomForest(1),0.991091
11,weka.Logistic(1),0.988864
12,weka.SMO_PolyKernel(1),0.973274
13,weka.AdaBoostM1_DecisionStump(1),0.836303
14,weka.NaiveBayes(1),0.865256
15,weka.ZeroR(1),0.761693
16,weka.J48(1),0.985523
17,weka.REPTree(1),0.982183
18,weka.LogitBoost_DecisionStump(1),0.98441
19,weka.NaiveBayes(1),0.865256
20,weka.NaiveBayes(1),0.865256
21,weka.NaiveBayesUpdateable(1),0.865256
22,weka.Logistic(1),0.987751
23,weka.MultilayerPerceptron(1),0.983296
24,weka.SimpleLogistic(1),0.992205
25,weka.SMO_PolyKernel(1),0.973274
26,weka.IBk(1),0.989978
27,weka.KStar(1),0.953229
28,weka.LWL_DecisionStump(1),0.955457
29,weka.AdaBoostM1_DecisionStump(1),0.836303
30,weka.AttributeSelectedClassifier_CfsSubsetEval_BestFirst_J48(1),0.966592
31,weka.Bagging_REPTree(1),0.98441
32,weka.ClassificationViaRegression_M5P(1),0.985523
33,weka.CVParameterSelection_ZeroR(1),0.761693
34,weka.FilteredClassifier_Discretize_J48(1),0.986637
35,weka.LogitBoost_DecisionStump(1),0.98441
36,weka.MultiClassClassifier_Logistic(1),0.992205
37,weka.MultiClassClassifierUpdateable_SGD(1),0.989978
38,weka.MultiScheme_ZeroR(1),0.761693
39,weka.RandomCommittee_RandomTree(1),0.992205
40,weka.RandomSubSpace_REPTree(1),0.989978
41,weka.Vote_ZeroR(1),0.761693
42,weka.DecisionTable_BestFirst(1),0.953229
43,weka.JRip(1),0.98441
44,weka.OneR(1),0.836303
45,weka.PART(1),0.982183
46,weka.ZeroR(1),0.761693
47,weka.DecisionStump(1),0.771715
48,weka.J48(1),0.985523
49,weka.LMT(1),0.993318
50,weka.RandomForest(1),0.991091
51,weka.RandomTree(1),0.982183
52,weka.REPTree(1),0.982183
53,weka.J48(1),0.965479
54,weka.SMO_RBFKernel(1),0.991091
55,weka.SMO_RBFKernel(1),0.975501
56,weka.SMO_RBFKernel(1),0.761693
57,weka.J48(1),0.965479
58,weka.SMO_RBFKernel(1),0.923163
59,weka.SMO_RBFKernel(1),0.831849
60,weka.SMO_RBFKernel(1),0.974388
61,weka.Bagging_REPTree(1),0.986637
62,weka.Bagging_REPTree(1),0.988864
63,weka.Bagging_REPTree(1),0.986637
64,weka.OneR(1),0.836303
65,weka.SMO_RBFKernel(1),0.809577
66,weka.SMO_RBFKernel(1),0.914254
67,weka.SMO_RBFKernel(1),0.985523
68,weka.SMO_RBFKernel(1),0.761693
69,weka.LMT(1),0.993318
70,weka.IBk(1),0.96882
71,weka.OneR(1),0.836303
72,weka.SMO_PolyKernel(1),0.993318
73,weka.SMO_RBFKernel(1),0.914254
74,weka.SMO_PolyKernel(1),0.966592
75,weka.Bagging_REPTree(1),0.986637
76,weka.J48(1),0.988864
77,weka.SMO_RBFKernel(1),0.761693
78,weka.J48(1),0.965479
79,weka.SMO_PolyKernel(1),0.989978
80,weka.SMO_PolyKernel(1),0.989978
81,weka.LMT(1),0.993318
82,weka.AdaBoostM1_DecisionStump(1),0.836303
83,weka.IBk(1),0.975501
84,weka.J48(1),0.966592
85,weka.SMO_RBFKernel(1),0.955457
86,weka.SMO_PolyKernel(1),0.991091
87,weka.IBk(1),0.955457
88,weka.SMO_PolyKernel(1),0.942094
89,weka.SMO_RBFKernel(1),0.973274
90,weka.J48(1),0.965479
91,weka.J48(1),0.966592
92,weka.LogitBoost_DecisionStump(1),0.994432
93,weka.IBk(1),0.957684
94,weka.SMO_RBFKernel(1),0.761693
95,weka.J48(1),0.988864
96,weka.SMO_PolyKernel(1),0.994432
97,weka.LMT(1),0.993318
98,weka.SMO_PolyKernel(1),0.992205
99,weka.LMT(1),0.993318
100,weka.AdaBoostM1_DecisionStump(1),0.836303
101,weka.RandomForest(1),0.97216
102,weka.J48(1),0.985523
103,weka.SMO_RBFKernel(1),0.81069
104,weka.SMO_PolyKernel(1),0.991091
105,weka.IBk(1),0.95657
106,weka.IBk(1),0.971047
107,weka.IBk(1),0.95657
108,weka.LogitBoost_DecisionStump(1),0.994432
109,weka.RandomForest(1),0.994432
110,weka.J48(1),0.98441
111,weka.J48(1),0.966592
112,weka.SMO_RBFKernel(1),0.761693
113,weka.RandomForest(1),0.985523
114,weka.LogitBoost_DecisionStump(1),0.992205
115,weka.J48(1),0.988864
116,weka.SMO_RBFKernel(1),0.809577
117,weka.J48(1),0.965479
118,weka.SMO_RBFKernel(1),0.797327
119,weka.SMO_RBFKernel(1),0.905345
120,weka.Bagging_REPTree(1),0.988864
121,weka.Bagging_REPTree(1),0.988864
122,weka.OneR(1),0.836303
123,weka.IBk(1),0.971047
124,weka.J48(1),0.985523
125,weka.RandomForest(1),0.993318
126,weka.AdaBoostM1_DecisionStump(1),0.836303
127,weka.SMO_RBFKernel(1),0.969933
128,weka.J48(1),0.989978
129,weka.SMO_PolyKernel(1),0.991091
130,weka.J48(1),0.989978
131,weka.OneR(1),0.836303
132,weka.IBk(1),0.962138
133,weka.J48(1),0.987751
134,weka.SMO_RBFKernel(1),0.816258
135,weka.SMO_RBFKernel(1),0.95657
136,weka.J48(1),0.963252
137,weka.SMO_RBFKernel(1),0.937639
138,weka.IBk(1),0.965479
139,weka.LogitBoost_DecisionStump(1),0.988864
140,weka.J48(1),0.98441
141,weka.SMO_PolyKernel(1),0.836303
142,weka.SMO_RBFKernel(1),0.915367
143,weka.OneR(1),0.836303
144,weka.J48(1),0.964365
145,weka.J48(1),0.985523
146,weka.J48(1),0.98441
147,weka.SMO_PolyKernel(1),0.991091
148,weka.SMO_RBFKernel(1),0.761693
149,weka.SMO_PolyKernel(1),0.988864
150,weka.Bagging_REPTree(1),0.989978
151,weka.J48(1),0.981069
152,weka.Bagging_REPTree(1),0.985523
153,weka.SMO_PolyKernel(1),0.993318
154,weka.SMO_RBFKernel(1),0.806236
155,weka.J48(1),0.985523
156,weka.Bagging_REPTree(1),0.986637
157,weka.SMO_RBFKernel(1),0.88196
158,weka.SMO_RBFKernel(1),0.983296
159,weka.J48(1),0.989978
160,weka.IBk(1),0.969933
161,weka.J48(1),0.966592
162,weka.SMO_RBFKernel(1),0.849666
163,weka.J48(1),0.966592
164,weka.SMO_RBFKernel(1),0.975501
165,weka.J48(1),0.988864
166,weka.AdaBoostM1_DecisionStump(1),0.836303
167,weka.SMO_RBFKernel(1),0.918708
168,weka.RandomForest(1),0.995546
169,weka.J48(1),0.989978
170,weka.Bagging_OneR(1),0.836303
171,weka.Bagging_JRip(1),0.988864
172,weka.AttributeSelectedClassifier_CfsSubsetEval_BestFirst_BFTree(1),0.973274
173,weka.MultiBoostAB_REPTree(1),0.996659
174,weka.MultiBoostAB_J48(1),0.995546
175,weka.AdaBoostM1_NaiveBayes(1),0.944321
176,weka.Dagging_DecisionStump(1),0.836303
177,weka.BayesNet_LAGDHillClimber(1),0.95657
178,weka.Bagging_LWL_DecisionStump(1),0.949889
179,weka.MultiBoostAB_LWL_DecisionStump(1),0.96882
180,weka.Bagging_NaiveBayes(1),0.873051
181,weka.AdaBoostM1_BFTree(1),0.996659
182,weka.END_ND_J48(1),0.988864
183,weka.AdaBoostM1_RandomForest(1),0.992205
184,weka.AdaBoostM1_LMT(1),0.994432
185,weka.MultiBoostAB_MultilayerPerceptron(1),0.987751
186,weka.Bagging_SMO_PolyKernel(1),0.977728
187,weka.AdaBoostM1_LMT(1),0.995546
188,weka.RacedIncrementalLogitBoost_DecisionStump(1),0.761693
189,weka.AdaBoostM1_LWL_DecisionStump(1),0.98441
190,weka.AdaBoostM1_LMT(1),0.994432
191,weka.Bagging_DecisionStump(1),0.836303
192,weka.MultiBoostAB_LMT(1),0.993318
193,weka.AdaBoostM1_LMT(1),0.994432
194,weka.Bagging_BFTree(1),0.991091
195,weka.Bagging_BFTree(1),0.985523
196,weka.AdaBoostM1_OneR(1),0.849666
197,weka.MultiBoostAB_REPTree(1),0.992205
198,weka.MultiBoostAB_OneR(1),0.849666
199,weka.AdaBoostM1_LADTree(1),0.995546
200,weka.MultiBoostAB_MultilayerPerceptron(1),0.983296
201,weka.AdaBoostM1_JRip(1),0.994432
