,Flow,Accuracy
0,weka.Bagging_REPTree(1),0.98441
1,weka.JRip(1),0.98441
2,weka.BayesNet_K2(1),0.961024
3,weka.RandomForest(1),0.991091
4,weka.Logistic(1),0.988864
5,weka.SMO_PolyKernel(1),0.973274
6,weka.AdaBoostM1_DecisionStump(1),0.836303
7,weka.NaiveBayes(1),0.865256
8,weka.ZeroR(1),0.761693
9,weka.J48(1),0.985523
10,weka.REPTree(1),0.982183
11,weka.LogitBoost_DecisionStump(1),0.98441
12,weka.NaiveBayes(1),0.865256
13,weka.NaiveBayes(1),0.865256
14,weka.NaiveBayesUpdateable(1),0.865256
15,weka.Logistic(1),0.987751
16,weka.MultilayerPerceptron(1),0.983296
17,weka.SimpleLogistic(1),0.992205
18,weka.SMO_PolyKernel(1),0.973274
19,weka.IBk(1),0.989978
20,weka.KStar(1),0.953229
21,weka.LWL_DecisionStump(1),0.955457
22,weka.AdaBoostM1_DecisionStump(1),0.836303
23,weka.AttributeSelectedClassifier_CfsSubsetEval_BestFirst_J48(1),0.966592
24,weka.Bagging_REPTree(1),0.98441
25,weka.ClassificationViaRegression_M5P(1),0.985523
26,weka.CVParameterSelection_ZeroR(1),0.761693
27,weka.FilteredClassifier_Discretize_J48(1),0.986637
28,weka.LogitBoost_DecisionStump(1),0.98441
29,weka.MultiClassClassifier_Logistic(1),0.992205
30,weka.MultiClassClassifierUpdateable_SGD(1),0.989978
31,weka.MultiScheme_ZeroR(1),0.761693
32,weka.RandomCommittee_RandomTree(1),0.992205
33,weka.RandomSubSpace_REPTree(1),0.989978
34,weka.Vote_ZeroR(1),0.761693
35,weka.DecisionTable_BestFirst(1),0.953229
36,weka.JRip(1),0.98441
37,weka.OneR(1),0.836303
38,weka.PART(1),0.982183
39,weka.ZeroR(1),0.761693
40,weka.DecisionStump(1),0.771715
41,weka.J48(1),0.985523
42,weka.LMT(1),0.993318
43,weka.RandomForest(1),0.991091
44,weka.RandomTree(1),0.982183
45,weka.REPTree(1),0.982183
46,weka.J48(1),0.965479
47,weka.SMO_RBFKernel(1),0.991091
48,weka.SMO_RBFKernel(1),0.975501
49,weka.SMO_RBFKernel(1),0.761693
50,weka.J48(1),0.965479
51,weka.SMO_RBFKernel(1),0.923163
