,Flow,Accuracy
148,weka.SMO_PolyKernel(1),0.688053
149,weka.SMO_PolyKernel(1),0.993318
150,weka.J48(1),0.789474
151,weka.SMO_RBFKernel(1),0.914254
152,weka.OneR(1),0.606195
153,weka.SMO_PolyKernel(1),0.966592
154,weka.SMO_RBFKernel(1),0.542035
155,weka.Bagging_REPTree(1),0.986637
156,weka.AdaBoostM1_DecisionStump(1),0.553097
157,weka.J48(1),0.988864
158,weka.IBk(1),0.894737
159,weka.DecisionTable_BestFirst(1),0.665929
160,weka.SMO_PolyKernel(1),0.542035
161,weka.IBk(1),0.929825
162,weka.SMO_RBFKernel(1),0.542035
163,weka.SMO_PolyKernel(1),0.929825
164,weka.J48(1),0.807018
165,weka.SMO_PolyKernel(1),0.929825
166,weka.SMO_RBFKernel(1),0.761693
167,weka.OneR(1),0.754386
168,weka.J48(1),0.965479
169,weka.SMO_RBFKernel(1),0.877193
170,weka.SMO_PolyKernel(1),0.696903
171,weka.SMO_PolyKernel(1),0.989978
172,weka.SMO_PolyKernel(1),0.912281
173,weka.SMO_PolyKernel(1),0.989978
174,weka.IBk(1),0.859649
175,weka.OneR(1),0.824561
176,weka.SMO_PolyKernel(1),0.688053
177,weka.AdaBoostM1_DecisionStump(1),0.929825
178,weka.CVParameterSelection_ZeroR(1),0.542035
179,weka.OneR(1),0.754386
180,weka.SMO_RBFKernel(1),0.649123
181,weka.LMT(1),0.993318
182,weka.SMO_PolyKernel(1),0.894737
183,weka.J48(1),0.716814
184,weka.RandomForest(1),0.754386
185,weka.LMT(1),0.929825
186,weka.IBk(1),0.584071
187,weka.AdaBoostM1_DecisionStump(1),0.836303
188,weka.RandomForest(1),0.894737
189,weka.IBk(1),0.859649
190,weka.IBk(1),0.975501
191,weka.IBk(1),0.590708
192,weka.IBk(1),0.588496
193,weka.Logistic(1),0.947368
194,weka.SMO_RBFKernel(1),0.649123
195,weka.SMO_RBFKernel(1),0.649123
196,weka.J48(1),0.966592
197,weka.SMO_RBFKernel(1),0.719298
198,weka.SMO_RBFKernel(1),0.955457
199,weka.IBk(1),0.564159
200,weka.Bagging_REPTree(1),0.725664
201,weka.SMO_PolyKernel(1),0.991091
202,weka.IBk(1),0.955457
203,weka.SMO_PolyKernel(1),0.942094
204,weka.J48(1),0.701327
205,weka.SMO_RBFKernel(1),0.973274
206,weka.RandomForest(1),0.679204
207,weka.J48(1),0.965479
208,weka.J48(1),0.701327
209,weka.J48(1),0.966592
210,weka.LMT(1),0.734513
211,weka.J48(1),0.807018
212,weka.LogitBoost_DecisionStump(1),0.994432
213,weka.J48(1),0.632743
214,weka.IBk(1),0.957684
215,weka.KStar(1),0.929825
216,weka.JRip(1),0.721239
217,weka.OneR(1),0.59292
218,weka.SMO_PolyKernel(1),0.912281
219,weka.J48(1),0.789474
220,weka.J48(1),0.699115
221,weka.SMO_RBFKernel(1),0.761693
222,weka.J48(1),0.988864
223,weka.SMO_PolyKernel(1),0.994432
224,weka.J48(1),0.634956
